"Velocity:0","Velocity:1","Velocity:2","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.99,-0.010417,0,0,1,0,-110,0,0.025
4.99,-0.010417,0,0,1,0.22,-109.78,0,0.025
4.99,-0.010417,0,0,1,0.44,-109.56,0,0.025
4.99,-0.010417,0,0,1,0.66,-109.34,0,0.025
4.99,-0.010417,0,0,1,0.88,-109.12,0,0.025
4.99,-0.010417,0,0,1,1.1,-108.9,0,0.025
4.9631,-0.019706,0,0,1,1.32,-108.68,0,0.025
4.9631,-0.019706,0,0,1,1.54,-108.46,0,0.025
4.9631,-0.019706,0,0,1,1.76,-108.24,0,0.025
4.9631,-0.019706,0,0,1,1.98,-108.02,0,0.025
4.9631,-0.019706,0,0,1,2.2,-107.8,0,0.025
4.9191,-0.035347,0,0,1,2.42,-107.58,0,0.025
4.9191,-0.035347,0,0,1,2.64,-107.36,0,0.025
4.9191,-0.035347,0,0,1,2.86,-107.14,0,0.025
4.9191,-0.035347,0,0,1,3.08,-106.92,0,0.025
4.9191,-0.035347,0,0,1,3.3,-106.7,0,0.025
4.8568,-0.050899,0,0,1,3.52,-106.48,0,0.025
4.8568,-0.050899,0,0,1,3.74,-106.26,0,0.025
4.8568,-0.050899,0,0,1,3.96,-106.04,0,0.025
4.8568,-0.050899,0,0,1,4.18,-105.82,0,0.025
4.7802,-0.06415,0,0,1,4.4,-105.6,0,0.025
4.7802,-0.06415,0,0,1,4.62,-105.38,0,0.025
4.7802,-0.06415,0,0,1,4.84,-105.16,0,0.025
4.7802,-0.06415,0,0,1,5.06,-104.94,0,0.025
4.6943,-0.072952,0,0,1,5.28,-104.72,0,0.025
4.6943,-0.072952,0,0,1,5.5,-104.5,0,0.025
4.6943,-0.072952,0,0,1,5.72,-104.28,0,0.025
4.6943,-0.072952,0,0,1,5.94,-104.06,0,0.025
4.6039,-0.078715,0,0,1,6.16,-103.84,0,0.025
4.6039,-0.078715,0,0,1,6.38,-103.62,0,0.025
4.6039,-0.078715,0,0,1,6.6,-103.4,0,0.025
4.5149,-0.077044,0,0,1,6.82,-103.18,0,0.025
4.5149,-0.077044,0,0,1,7.04,-102.96,0,0.025
4.5149,-0.077044,0,0,1,7.26,-102.74,0,0.025
4.4337,-0.069532,0,0,1,7.48,-102.52,0,0.025
4.4337,-0.069532,0,0,1,7.7,-102.3,0,0.025
4.4337,-0.069532,0,0,1,7.92,-102.08,0,0.025
4.3623,-0.056748,0,0,1,8.14,-101.86,0,0.025
4.3623,-0.056748,0,0,1,8.36,-101.64,0,0.025
4.3012,-0.033466,0,0,1,8.58,-101.42,0,0.025
4.3012,-0.033466,0,0,1,8.8,-101.2,0,0.025
4.2261,-0.03863,0,0,1,9.02,-100.98,0,0.025
4.2261,-0.03863,0,0,1,9.24,-100.76,0,0.025
4.0709,-0.089862,0,0,1,9.46,-100.54,0,0.025
3.7279,-0.2678,0,0,1,9.68,-100.32,0,0.025
3.0708,-0.75749,0,0,1,9.9,-100.1,0,0.025
nan,nan,nan,0,0,10.12,-99.88,0,0.025
nan,nan,nan,0,0,10.34,-99.66,0,0.025
nan,nan,nan,0,0,10.56,-99.44,0,0.025
0.14556,0.019384,0,0,1,10.78,-99.22,0,0.025
0.36798,-0.14796,0,0,1,11,-99,0,0.025
0.91632,-0.43663,0,0,1,11.22,-98.78,0,0.025
0.084429,-0.90694,0,0,1,11.44,-98.56,0,0.025
nan,nan,nan,0,0,11.66,-98.34,0,0.025
nan,nan,nan,0,0,11.88,-98.12,0,0.025
0.49729,0.64918,0,0,1,12.1,-97.9,0,0.025
3.1523,2.0697,0,0,1,12.32,-97.68,0,0.025
4.9544,2.9704,0,0,1,12.54,-97.46,0,0.025
6.7583,3.7,0,0,1,12.76,-97.24,0,0.025
7.6256,4.1472,0,0,1,12.98,-97.02,0,0.025
8.44,3.5384,0,0,1,13.2,-96.8,0,0.025
7.4454,1.6923,0,0,1,13.42,-96.58,0,0.025
5.1885,0.82037,0,0,1,13.64,-96.36,0,0.025
0.41456,-1.1087,0,0,1,13.86,-96.14,0,0.025
nan,nan,nan,0,0,14.08,-95.92,0,0.025
nan,nan,nan,0,0,14.3,-95.7,0,0.025
nan,nan,nan,0,0,14.52,-95.48,0,0.025
0.9621,-0.23913,0,0,1,14.74,-95.26,0,0.025
2.7369,-0.8203,0,0,1,14.96,-95.04,0,0.025
3.9693,-0.75164,0,0,1,15.18,-94.82,0,0.025
6.1619,-0.65197,0,0,1,15.4,-94.6,0,0.025
7.0067,-1.249,0,0,1,15.62,-94.38,0,0.025
7.0727,-0.81945,0,0,1,15.84,-94.16,0,0.025
7.1828,-0.55481,0,0,1,16.06,-93.94,0,0.025
7.1179,-0.32471,0,0,1,16.28,-93.72,0,0.025
6.5238,0.15273,0,0,1,16.5,-93.5,0,0.025
6.2797,2.4157,0,0,1,16.72,-93.28,0,0.025
nan,nan,nan,0,0,16.94,-93.06,0,0.025
8.2049,-3.3639,0,0,1,17.16,-92.84,0,0.025
6.0588,-4.3498,0,0,1,17.38,-92.62,0,0.025
5.8972,-2.6055,0,0,1,17.6,-92.4,0,0.025
2.8064,-0.77255,0,0,1,17.82,-92.18,0,0.025
0.24079,0.047255,0,0,1,18.04,-91.96,0,0.025
0.51202,-0.55267,0,0,1,18.26,-91.74,0,0.025
nan,nan,nan,0,0,18.48,-91.52,0,0.025
nan,nan,nan,0,0,18.7,-91.3,0,0.025
nan,nan,nan,0,0,18.92,-91.08,0,0.025
0.043843,-0.28556,0,0,1,19.14,-90.86,0,0.025
0.46507,0.32665,0,0,1,19.36,-90.64,0,0.025
1.2689,0.70037,0,0,1,19.58,-90.42,0,0.025
2.2011,1.2429,0,0,1,19.8,-90.2,0,0.025
2.3013,1.9158,0,0,1,20.02,-89.98,0,0.025
2.513,3.149,0,0,1,20.24,-89.76,0,0.025
nan,nan,nan,0,0,20.46,-89.54,0,0.025
nan,nan,nan,0,0,20.68,-89.32,0,0.025
0.7872,-0.35319,0,0,1,20.9,-89.1,0,0.025
1.2216,-0.5677,0,0,1,21.12,-88.88,0,0.025
1.3623,-0.71873,0,0,1,21.34,-88.66,0,0.025
1.425,-0.83368,0,0,1,21.56,-88.44,0,0.025
1.3332,-1.0709,0,0,1,21.78,-88.22,0,0.025
1.4165,-1.7494,0,0,1,22,-88,0,0.025
nan,nan,nan,0,0,22.22,-87.78,0,0.025
nan,nan,nan,0,0,22.44,-87.56,0,0.025
-0.32246,-0.2713,0,0,1,22.66,-87.34,0,0.025
-0.30655,-0.36726,0,0,1,22.88,-87.12,0,0.025
0.076811,-0.30421,0,0,1,23.1,-86.9,0,0.025
1.1556,-0.28513,0,0,1,23.32,-86.68,0,0.025
1.5979,-0.97882,0,0,1,23.54,-86.46,0,0.025
1.5452,-0.80012,0,0,1,23.76,-86.24,0,0.025
1.4258,-0.6029,0,0,1,23.98,-86.02,0,0.025
1.0561,-0.56897,0,0,1,24.2,-85.8,0,0.025
nan,nan,nan,0,0,24.42,-85.58,0,0.025
nan,nan,nan,0,0,24.64,-85.36,0,0.025
nan,nan,nan,0,0,24.86,-85.14,0,0.025
0.7599,0.52162,0,0,1,25.08,-84.92,0,0.025
1.2576,0.36279,0,0,1,25.3,-84.7,0,0.025
1.3569,0.01431,0,0,1,25.52,-84.48,0,0.025
1.2136,-0.17844,0,0,1,25.74,-84.26,0,0.025
0.40068,-0.30684,0,0,1,25.96,-84.04,0,0.025
nan,nan,nan,0,0,26.18,-83.82,0,0.025
nan,nan,nan,0,0,26.4,-83.6,0,0.025
nan,nan,nan,0,0,26.62,-83.38,0,0.025
0.20383,0.41421,0,0,1,26.84,-83.16,0,0.025
nan,nan,nan,0,0,27.06,-82.94,0,0.025
nan,nan,nan,0,0,27.28,-82.72,0,0.025
nan,nan,nan,0,0,27.5,-82.5,0,0.025
0.0047645,0.25772,0,0,1,27.72,-82.28,0,0.025
nan,nan,nan,0,0,27.94,-82.06,0,0.025
nan,nan,nan,0,0,28.16,-81.84,0,0.025
nan,nan,nan,0,0,28.38,-81.62,0,0.025
0.97087,0.87965,0,0,1,28.6,-81.4,0,0.025
0.9325,0.88891,0,0,1,28.82,-81.18,0,0.025
0.50216,0.22862,0,0,1,29.04,-80.96,0,0.025
nan,nan,nan,0,0,29.26,-80.74,0,0.025
nan,nan,nan,0,0,29.48,-80.52,0,0.025
1.0678,0.76444,0,0,1,29.7,-80.3,0,0.025
1.1412,0.46717,0,0,1,29.92,-80.08,0,0.025
1.2247,0.3615,0,0,1,30.14,-79.86,0,0.025
1.258,0.063543,0,0,1,30.36,-79.64,0,0.025
1.0744,-0.17076,0,0,1,30.58,-79.42,0,0.025
0.86127,-0.14999,0,0,1,30.8,-79.2,0,0.025
0.80592,-0.11126,0,0,1,31.02,-78.98,0,0.025
0.83108,-0.026815,0,0,1,31.24,-78.76,0,0.025
0.86388,0.13117,0,0,1,31.46,-78.54,0,0.025
0.88143,0.22369,0,0,1,31.68,-78.32,0,0.025
0.92124,0.054918,0,0,1,31.9,-78.1,0,0.025
1.0375,-0.40709,0,0,1,32.12,-77.88,0,0.025
0.40236,-0.14339,0,0,1,32.34,-77.66,0,0.025
0.0035504,0.046853,0,0,1,32.56,-77.44,0,0.025
-0.17951,0.15627,0,0,1,32.78,-77.22,0,0.025
-0.3584,-0.019768,0,0,1,33,-77,0,0.025
-0.1151,-0.43863,0,0,1,33.22,-76.78,0,0.025
-0.038984,-0.11973,0,0,1,33.44,-76.56,0,0.025
-0.0043005,-0.036308,0,0,1,33.66,-76.34,0,0.025
0.07416,-0.020629,0,0,1,33.88,-76.12,0,0.025
0.051315,-0.1191,0,0,1,34.1,-75.9,0,0.025
0.012406,-0.27805,0,0,1,34.32,-75.68,0,0.025
nan,nan,nan,0,0,34.54,-75.46,0,0.025
nan,nan,nan,0,0,34.76,-75.24,0,0.025
-0.057422,-0.13753,0,0,1,34.98,-75.02,0,0.025
-0.022183,-0.28293,0,0,1,35.2,-74.8,0,0.025
0.031256,-0.13198,0,0,1,35.42,-74.58,0,0.025
0.18509,0.17778,0,0,1,35.64,-74.36,0,0.025
0.21169,0.25332,0,0,1,35.86,-74.14,0,0.025
0.0040459,0.24517,0,0,1,36.08,-73.92,0,0.025
-0.05614,0.30474,0,0,1,36.3,-73.7,0,0.025
-0.031559,0.30884,0,0,1,36.52,-73.48,0,0.025
nan,nan,nan,0,0,36.74,-73.26,0,0.025
nan,nan,nan,0,0,36.96,-73.04,0,0.025
nan,nan,nan,0,0,37.18,-72.82,0,0.025
-0.059468,0.085992,0,0,1,37.4,-72.6,0,0.025
-0.014383,0.097647,0,0,1,37.62,-72.38,0,0.025
0.11131,0.16701,0,0,1,37.84,-72.16,0,0.025
0.24088,0.19421,0,0,1,38.06,-71.94,0,0.025
0.45715,0.1561,0,0,1,38.28,-71.72,0,0.025
0.64965,0.082809,0,0,1,38.5,-71.5,0,0.025
0.81971,0.11161,0,0,1,38.72,-71.28,0,0.025
0.92774,0.21185,0,0,1,38.94,-71.06,0,0.025
1.2239,0.51387,0,0,1,39.16,-70.84,0,0.025
1.7626,0.026052,0,0,1,39.38,-70.62,0,0.025
1.4018,-0.48493,0,0,1,39.6,-70.4,0,0.025
1.2992,-0.34785,0,0,1,39.82,-70.18,0,0.025
1.368,-0.044241,0,0,1,40.04,-69.96,0,0.025
2.1493,0.77637,0,0,1,40.26,-69.74,0,0.025
2.6422,-0.73631,0,0,1,40.48,-69.52,0,0.025
1.8967,-0.87956,0,0,1,40.7,-69.3,0,0.025
1.6506,-0.54907,0,0,1,40.92,-69.08,0,0.025
1.7341,-0.24422,0,0,1,41.14,-68.86,0,0.025
1.8027,0.17273,0,0,1,41.36,-68.64,0,0.025
1.7139,0.48198,0,0,1,41.58,-68.42,0,0.025
1.3957,1.0505,0,0,1,41.8,-68.2,0,0.025
nan,nan,nan,0,0,42.02,-67.98,0,0.025
0.40074,-0.20829,0,0,1,42.24,-67.76,0,0.025
0.30723,-0.34222,0,0,1,42.46,-67.54,0,0.025
0.39774,-0.80162,0,0,1,42.68,-67.32,0,0.025
nan,nan,nan,0,0,42.9,-67.1,0,0.025
nan,nan,nan,0,0,43.12,-66.88,0,0.025
nan,nan,nan,0,0,43.34,-66.66,0,0.025
0.55218,0.54696,0,0,1,43.56,-66.44,0,0.025
0.60252,0.92827,0,0,1,43.78,-66.22,0,0.025
0.40389,1.6033,0,0,1,44,-66,0,0.025
nan,nan,nan,0,0,44.22,-65.78,0,0.025
nan,nan,nan,0,0,44.44,-65.56,0,0.025
-0.18943,1.4901,0,0,1,44.66,-65.34,0,0.025
-0.54284,1.719,0,0,1,44.88,-65.12,0,0.025
nan,nan,nan,0,0,45.1,-64.9,0,0.025
nan,nan,nan,0,0,45.32,-64.68,0,0.025
nan,nan,nan,0,0,45.54,-64.46,0,0.025
0.93934,1.5975,0,0,1,45.76,-64.24,0,0.025
1.0838,1.4251,0,0,1,45.98,-64.02,0,0.025
nan,nan,nan,0,0,46.2,-63.8,0,0.025
nan,nan,nan,0,0,46.42,-63.58,0,0.025
0.045826,0.14812,0,0,1,46.64,-63.36,0,0.025
0.47287,0.68569,0,0,1,46.86,-63.14,0,0.025
1.2216,1.078,0,0,1,47.08,-62.92,0,0.025
1.1629,0.68521,0,0,1,47.3,-62.7,0,0.025
0.56077,0.078154,0,0,1,47.52,-62.48,0,0.025
nan,nan,nan,0,0,47.74,-62.26,0,0.025
nan,nan,nan,0,0,47.96,-62.04,0,0.025
1.1128,1.2845,0,0,1,48.18,-61.82,0,0.025
1.2636,1.3937,0,0,1,48.4,-61.6,0,0.025
1.4424,1.5228,0,0,1,48.62,-61.38,0,0.025
1.6086,1.5115,0,0,1,48.84,-61.16,0,0.025
1.5708,1.2217,0,0,1,49.06,-60.94,0,0.025
1.2489,0.86004,0,0,1,49.28,-60.72,0,0.025
0.99851,0.98886,0,0,1,49.5,-60.5,0,0.025
nan,nan,nan,0,0,49.72,-60.28,0,0.025
nan,nan,nan,0,0,49.94,-60.06,0,0.025
0.025075,0.22661,0,0,1,50.16,-59.84,0,0.025
-0.018157,0.67847,0,0,1,50.38,-59.62,0,0.025
0.24247,0.54191,0,0,1,50.6,-59.4,0,0.025
0.78741,0.26009,0,0,1,50.82,-59.18,0,0.025
1.0423,0.12569,0,0,1,51.04,-58.96,0,0.025
1.1349,0.07955,0,0,1,51.26,-58.74,0,0.025
1.1519,0.11693,0,0,1,51.48,-58.52,0,0.025
1.1005,0.40405,0,0,1,51.7,-58.3,0,0.025
1.3726,0.96002,0,0,1,51.92,-58.08,0,0.025
nan,nan,nan,0,0,52.14,-57.86,0,0.025
1.6431,-0.70092,0,0,1,52.36,-57.64,0,0.025
1.2675,-0.5083,0,0,1,52.58,-57.42,0,0.025
1.0749,-0.451,0,0,1,52.8,-57.2,0,0.025
0.8959,-0.56504,0,0,1,53.02,-56.98,0,0.025
nan,nan,nan,0,0,53.24,-56.76,0,0.025
nan,nan,nan,0,0,53.46,-56.54,0,0.025
0.088561,0.12564,0,0,1,53.68,-56.32,0,0.025
0.18012,-0.026993,0,0,1,53.9,-56.1,0,0.025
0.69707,-0.29705,0,0,1,54.12,-55.88,0,0.025
1.0969,-0.47782,0,0,1,54.34,-55.66,0,0.025
1.2725,-0.49454,0,0,1,54.56,-55.44,0,0.025
1.3363,-0.48795,0,0,1,54.78,-55.22,0,0.025
1.3558,-0.49677,0,0,1,55,-55,0,0.025
1.2298,-0.48622,0,0,1,55.22,-54.78,0,0.025
0.88237,-0.37927,0,0,1,55.44,-54.56,0,0.025
0.76034,-0.46957,0,0,1,55.66,-54.34,0,0.025
0.92448,-1.0222,0,0,1,55.88,-54.12,0,0.025
1.5338,-2.1747,0,0,1,56.1,-53.9,0,0.025
nan,nan,nan,0,0,56.32,-53.68,0,0.025
nan,nan,nan,0,0,56.54,-53.46,0,0.025
-0.032403,-0.13356,0,0,1,56.76,-53.24,0,0.025
0.45834,-0.44696,0,0,1,56.98,-53.02,0,0.025
1.287,-0.80238,0,0,1,57.2,-52.8,0,0.025
1.6295,-0.90143,0,0,1,57.42,-52.58,0,0.025
1.7713,-0.92656,0,0,1,57.64,-52.36,0,0.025
1.7649,-0.93481,0,0,1,57.86,-52.14,0,0.025
1.7073,-0.98312,0,0,1,58.08,-51.92,0,0.025
1.6686,-1.1054,0,0,1,58.3,-51.7,0,0.025
1.96,-1.0211,0,0,1,58.52,-51.48,0,0.025
nan,nan,nan,0,0,58.74,-51.26,0,0.025
-0.045082,0.06871,0,0,1,58.96,-51.04,0,0.025
0.080057,-0.090709,0,0,1,59.18,-50.82,0,0.025
0.60938,-0.41315,0,0,1,59.4,-50.6,0,0.025
1.1161,-0.35005,0,0,1,59.62,-50.38,0,0.025
1.4936,0.093876,0,0,1,59.84,-50.16,0,0.025
1.7626,0.14472,0,0,1,60.06,-49.94,0,0.025
1.6621,-0.25681,0,0,1,60.28,-49.72,0,0.025
1.311,-0.36019,0,0,1,60.5,-49.5,0,0.025
1.1668,-0.12471,0,0,1,60.72,-49.28,0,0.025
1.0732,0.10496,0,0,1,60.94,-49.06,0,0.025
0.70093,0.55415,0,0,1,61.16,-48.84,0,0.025
nan,nan,nan,0,0,61.38,-48.62,0,0.025
nan,nan,nan,0,0,61.6,-48.4,0,0.025
0.45255,-0.46842,0,0,1,61.82,-48.18,0,0.025
0.81347,-0.5102,0,0,1,62.04,-47.96,0,0.025
0.91242,-0.42379,0,0,1,62.26,-47.74,0,0.025
1.0529,-0.39401,0,0,1,62.48,-47.52,0,0.025
1.2611,-0.34295,0,0,1,62.7,-47.3,0,0.025
1.4378,0.1436,0,0,1,62.92,-47.08,0,0.025
1.3581,0.51515,0,0,1,63.14,-46.86,0,0.025
1.6008,0.68979,0,0,1,63.36,-46.64,0,0.025
1.8424,0.75571,0,0,1,63.58,-46.42,0,0.025
2.0841,0.7563,0,0,1,63.8,-46.2,0,0.025
