"Velocity:0","Velocity:1","Velocity:2","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.9723,-0.012896,0,0,1,0,-110,0,0.025
4.9723,-0.012896,0,0,1,0.22,-109.78,0,0.025
4.9723,-0.012896,0,0,1,0.44,-109.56,0,0.025
4.9723,-0.012896,0,0,1,0.66,-109.34,0,0.025
4.9723,-0.012896,0,0,1,0.88,-109.12,0,0.025
4.9723,-0.012896,0,0,1,1.1,-108.9,0,0.025
4.8979,-0.023707,0,0,1,1.32,-108.68,0,0.025
4.8979,-0.023707,0,0,1,1.54,-108.46,0,0.025
4.8979,-0.023707,0,0,1,1.76,-108.24,0,0.025
4.8979,-0.023707,0,0,1,1.98,-108.02,0,0.025
4.8979,-0.023707,0,0,1,2.2,-107.8,0,0.025
4.7773,-0.03992,0,0,1,2.42,-107.58,0,0.025
4.7773,-0.03992,0,0,1,2.64,-107.36,0,0.025
4.7773,-0.03992,0,0,1,2.86,-107.14,0,0.025
4.7773,-0.03992,0,0,1,3.08,-106.92,0,0.025
4.7773,-0.03992,0,0,1,3.3,-106.7,0,0.025
4.6067,-0.055827,0,0,1,3.52,-106.48,0,0.025
4.6067,-0.055827,0,0,1,3.74,-106.26,0,0.025
4.6067,-0.055827,0,0,1,3.96,-106.04,0,0.025
4.6067,-0.055827,0,0,1,4.18,-105.82,0,0.025
4.3962,-0.070563,0,0,1,4.4,-105.6,0,0.025
4.3962,-0.070563,0,0,1,4.62,-105.38,0,0.025
4.3962,-0.070563,0,0,1,4.84,-105.16,0,0.025
4.3962,-0.070563,0,0,1,5.06,-104.94,0,0.025
4.1574,-0.084215,0,0,1,5.28,-104.72,0,0.025
4.1574,-0.084215,0,0,1,5.5,-104.5,0,0.025
4.1574,-0.084215,0,0,1,5.72,-104.28,0,0.025
4.1574,-0.084215,0,0,1,5.94,-104.06,0,0.025
3.9009,-0.097012,0,0,1,6.16,-103.84,0,0.025
3.9009,-0.097012,0,0,1,6.38,-103.62,0,0.025
3.9009,-0.097012,0,0,1,6.6,-103.4,0,0.025
3.6359,-0.10941,0,0,1,6.82,-103.18,0,0.025
3.6359,-0.10941,0,0,1,7.04,-102.96,0,0.025
3.6359,-0.10941,0,0,1,7.26,-102.74,0,0.025
3.3708,-0.12202,0,0,1,7.48,-102.52,0,0.025
3.3708,-0.12202,0,0,1,7.7,-102.3,0,0.025
3.3708,-0.12202,0,0,1,7.92,-102.08,0,0.025
3.113,-0.13737,0,0,1,8.14,-101.86,0,0.025
3.113,-0.13737,0,0,1,8.36,-101.64,0,0.025
2.8694,-0.15947,0,0,1,8.58,-101.42,0,0.025
2.8694,-0.15947,0,0,1,8.8,-101.2,0,0.025
2.6522,-0.20193,0,0,1,9.02,-100.98,0,0.025
2.6522,-0.20193,0,0,1,9.24,-100.76,0,0.025
2.4772,-0.28754,0,0,1,9.46,-100.54,0,0.025
2.4201,-0.48771,0,0,1,9.68,-100.32,0,0.025
2.5272,-0.69554,0,0,1,9.9,-100.1,0,0.025
3.1189,-1.2141,0,0,1,10.12,-99.88,0,0.025
3.8535,-0.78054,0,0,1,10.34,-99.66,0,0.025
3.559,-0.62917,0,0,1,10.56,-99.44,0,0.025
2.6594,-0.68001,0,0,1,10.78,-99.22,0,0.025
nan,nan,nan,0,0,11,-99,0,0.025
nan,nan,nan,0,0,11.22,-98.78,0,0.025
2.2379,1.9306,0,0,1,11.44,-98.56,0,0.025
2.5656,0.95565,0,0,1,11.66,-98.34,0,0.025
nan,nan,nan,0,0,11.88,-98.12,0,0.025
7.3393,4.1185,0,0,1,12.1,-97.9,0,0.025
4.1469,2.1632,0,0,1,12.32,-97.68,0,0.025
3.1289,0.93894,0,0,1,12.54,-97.46,0,0.025
nan,nan,nan,0,0,12.76,-97.24,0,0.025
-0.4247,0.20443,0,0,1,12.98,-97.02,0,0.025
0.48456,0.98547,0,0,1,13.2,-96.8,0,0.025
2.1802,0.24888,0,0,1,13.42,-96.58,0,0.025
4.3966,-0.91475,0,0,1,13.64,-96.36,0,0.025
1.6421,-0.69118,0,0,1,13.86,-96.14,0,0.025
0.41026,-0.77051,0,0,1,14.08,-95.92,0,0.025
nan,nan,nan,0,0,14.3,-95.7,0,0.025
nan,nan,nan,0,0,14.52,-95.48,0,0.025
2.0177,2.5201,0,0,1,14.74,-95.26,0,0.025
4.3375,-0.582,0,0,1,14.96,-95.04,0,0.025
4.598,-3.253,0,0,1,15.18,-94.82,0,0.025
nan,nan,nan,0,0,15.4,-94.6,0,0.025
3.6253,2.7842,0,0,1,15.62,-94.38,0,0.025
4.0771,1.284,0,0,1,15.84,-94.16,0,0.025
3.454,-0.53763,0,0,1,16.06,-93.94,0,0.025
nan,nan,nan,0,0,16.28,-93.72,0,0.025
nan,nan,nan,0,0,16.5,-93.5,0,0.025
3.1942,2.0728,0,0,1,16.72,-93.28,0,0.025
3.1799,0.88736,0,0,1,16.94,-93.06,0,0.025
2.3059,0.51335,0,0,1,17.16,-92.84,0,0.025
2.3595,1.1514,0,0,1,17.38,-92.62,0,0.025
2.6237,0.50981,0,0,1,17.6,-92.4,0,0.025
2.5267,0.20318,0,0,1,17.82,-92.18,0,0.025
2.2457,0.39038,0,0,1,18.04,-91.96,0,0.025
nan,nan,nan,0,0,18.26,-91.74,0,0.025
nan,nan,nan,0,0,18.48,-91.52,0,0.025
nan,nan,nan,0,0,18.7,-91.3,0,0.025
0.05868,-0.002397,0,0,1,18.92,-91.08,0,0.025
0.5156,-0.75835,0,0,1,19.14,-90.86,0,0.025
nan,nan,nan,0,0,19.36,-90.64,0,0.025
nan,nan,nan,0,0,19.58,-90.42,0,0.025
0.085267,-0.31691,0,0,1,19.8,-90.2,0,0.025
1.6638,-1.2759,0,0,1,20.02,-89.98,0,0.025
2.1106,-2.5576,0,0,1,20.24,-89.76,0,0.025
nan,nan,nan,0,0,20.46,-89.54,0,0.025
nan,nan,nan,0,0,20.68,-89.32,0,0.025
1.1447,1.0075,0,0,1,20.9,-89.1,0,0.025
0.92658,1.1816,0,0,1,21.12,-88.88,0,0.025
nan,nan,nan,0,0,21.34,-88.66,0,0.025
nan,nan,nan,0,0,21.56,-88.44,0,0.025
nan,nan,nan,0,0,21.78,-88.22,0,0.025
0.83782,-0.55697,0,0,1,22,-88,0,0.025
1.5912,-0.88881,0,0,1,22.22,-87.78,0,0.025
2.6893,-0.47916,0,0,1,22.44,-87.56,0,0.025
3.035,0.58979,0,0,1,22.66,-87.34,0,0.025
2.677,-0.31102,0,0,1,22.88,-87.12,0,0.025
2.4703,-0.61308,0,0,1,23.1,-86.9,0,0.025
2.1743,-0.3632,0,0,1,23.32,-86.68,0,0.025
1.2989,-0.29698,0,0,1,23.54,-86.46,0,0.025
nan,nan,nan,0,0,23.76,-86.24,0,0.025
nan,nan,nan,0,0,23.98,-86.02,0,0.025
nan,nan,nan,0,0,24.2,-85.8,0,0.025
1.7158,0.10866,0,0,1,24.42,-85.58,0,0.025
1.5963,-0.20908,0,0,1,24.64,-85.36,0,0.025
0.48645,0.80548,0,0,1,24.86,-85.14,0,0.025
nan,nan,nan,0,0,25.08,-84.92,0,0.025
nan,nan,nan,0,0,25.3,-84.7,0,0.025
0.20686,0.11336,0,0,1,25.52,-84.48,0,0.025
0.40943,0.26715,0,0,1,25.74,-84.26,0,0.025
nan,nan,nan,0,0,25.96,-84.04,0,0.025
nan,nan,nan,0,0,26.18,-83.82,0,0.025
0.18963,-0.10303,0,0,1,26.4,-83.6,0,0.025
0.21679,-0.19204,0,0,1,26.62,-83.38,0,0.025
0.31352,-0.13168,0,0,1,26.84,-83.16,0,0.025
nan,nan,nan,0,0,27.06,-82.94,0,0.025
-0.11402,0.096222,0,0,1,27.28,-82.72,0,0.025
-0.10808,-0.097033,0,0,1,27.5,-82.5,0,0.025
0.65441,0.23409,0,0,1,27.72,-82.28,0,0.025
0.9303,-0.10619,0,0,1,27.94,-82.06,0,0.025
