"Velocity:0","Velocity:1","Velocity:2","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.9994,-0.015796,0,0,1,0,-110,0,0.025
4.9994,-0.015796,0,0,1,0.22,-109.78,0,0.025
4.9994,-0.015796,0,0,1,0.44,-109.56,0,0.025
4.9994,-0.015796,0,0,1,0.66,-109.34,0,0.025
4.9994,-0.015796,0,0,1,0.88,-109.12,0,0.025
4.9994,-0.015796,0,0,1,1.1,-108.9,0,0.025
4.9976,-0.021755,0,0,1,1.32,-108.68,0,0.025
4.9976,-0.021755,0,0,1,1.54,-108.46,0,0.025
4.9976,-0.021755,0,0,1,1.76,-108.24,0,0.025
4.9976,-0.021755,0,0,1,1.98,-108.02,0,0.025
4.9976,-0.021755,0,0,1,2.2,-107.8,0,0.025
4.9949,-0.02929,0,0,1,2.42,-107.58,0,0.025
4.9949,-0.02929,0,0,1,2.64,-107.36,0,0.025
4.9949,-0.02929,0,0,1,2.86,-107.14,0,0.025
4.9949,-0.02929,0,0,1,3.08,-106.92,0,0.025
4.9949,-0.02929,0,0,1,3.3,-106.7,0,0.025
4.9911,-0.035961,0,0,1,3.52,-106.48,0,0.025
4.9911,-0.035961,0,0,1,3.74,-106.26,0,0.025
4.9911,-0.035961,0,0,1,3.96,-106.04,0,0.025
4.9911,-0.035961,0,0,1,4.18,-105.82,0,0.025
4.9864,-0.041679,0,0,1,4.4,-105.6,0,0.025
4.9864,-0.041679,0,0,1,4.62,-105.38,0,0.025
4.9864,-0.041679,0,0,1,4.84,-105.16,0,0.025
4.9864,-0.041679,0,0,1,5.06,-104.94,0,0.025
4.9806,-0.047583,0,0,1,5.28,-104.72,0,0.025
4.9806,-0.047583,0,0,1,5.5,-104.5,0,0.025
4.9806,-0.047583,0,0,1,5.72,-104.28,0,0.025
4.9806,-0.047583,0,0,1,5.94,-104.06,0,0.025
4.9738,-0.053637,0,0,1,6.16,-103.84,0,0.025
4.9738,-0.053637,0,0,1,6.38,-103.62,0,0.025
4.9738,-0.053637,0,0,1,6.6,-103.4,0,0.025
4.9652,-0.05931,0,0,1,6.82,-103.18,0,0.025
4.9652,-0.05931,0,0,1,7.04,-102.96,0,0.025
4.9652,-0.05931,0,0,1,7.26,-102.74,0,0.025
4.9536,-0.064057,0,0,1,7.48,-102.52,0,0.025
4.9536,-0.064057,0,0,1,7.7,-102.3,0,0.025
4.9536,-0.064057,0,0,1,7.92,-102.08,0,0.025
4.9367,-0.068686,0,0,1,8.14,-101.86,0,0.025
4.9367,-0.068686,0,0,1,8.36,-101.64,0,0.025
4.9116,-0.073273,0,0,1,8.58,-101.42,0,0.025
4.9116,-0.073273,0,0,1,8.8,-101.2,0,0.025
4.8737,-0.080168,0,0,1,9.02,-100.98,0,0.025
4.8737,-0.080168,0,0,1,9.24,-100.76,0,0.025
4.8198,-0.090107,0,0,1,9.46,-100.54,0,0.025
4.7478,-0.10849,0,0,1,9.68,-100.32,0,0.025
4.6662,-0.13307,0,0,1,9.9,-100.1,0,0.025
4.5238,-0.20245,0,0,1,10.12,-99.88,0,0.025
4.2149,-0.36526,0,0,1,10.34,-99.66,0,0.025
3.651,-0.88307,0,0,1,10.56,-99.44,0,0.025
3.1031,-1.8795,0,0,1,10.78,-99.22,0,0.025
nan,nan,nan,0,0,11,-99,0,0.025
nan,nan,nan,0,0,11.22,-98.78,0,0.025
-0.51499,0.11203,0,0,1,11.44,-98.56,0,0.025
-1.0455,1.8284,0,0,1,11.66,-98.34,0,0.025
-1.3518,1.947,0,0,1,11.88,-98.12,0,0.025
-0.12793,-1.5062,0,0,1,12.1,-97.9,0,0.025
1.443,-3.5527,0,0,1,12.32,-97.68,0,0.025
1.9204,-3.7454,0,0,1,12.54,-97.46,0,0.025
3.5331,-0.18794,0,0,1,12.76,-97.24,0,0.025
4.9241,2.7309,0,0,1,12.98,-97.02,0,0.025
4.9695,2.6521,0,0,1,13.2,-96.8,0,0.025
4.7742,2.3943,0,0,1,13.42,-96.58,0,0.025
4.4409,2.501,0,0,1,13.64,-96.36,0,0.025
