x,vel
-30.0,
-29.78,
-29.560000000000002,
-29.340000000000003,
-29.120000000000005,
-28.900000000000006,
-28.680000000000007,
-28.460000000000008,
-28.24000000000001,
-28.02000000000001,
-27.799999999999997,
-27.58,
-27.36,
-27.14,
-26.92,
-26.700000000000003,
-26.480000000000004,
-26.260000000000005,
-26.040000000000006,
-25.819999999999993,
-25.599999999999994,
-25.379999999999995,
-25.159999999999997,
-24.939999999999998,
-24.72,
-24.5,
-24.28,
-24.060000000000002,
-23.840000000000003,
-23.620000000000005,
-23.400000000000006,
-23.180000000000007,
-22.959999999999994,
-22.739999999999995,
-22.519999999999996,
-22.299999999999997,
-22.08,
-21.86,
-21.64,
-21.42,
-21.200000000000003,
-20.980000000000004,
-20.760000000000005,
-20.540000000000006,
-20.319999999999993,
-20.0,
-19.78,
-19.560000000000002,
-19.340000000000003,
-19.120000000000005,
-18.900000000000006,
-18.680000000000007,
-18.459999999999994,
-18.239999999999995,
-18.019999999999996,
-17.799999999999997,
-17.58,
-17.36,
-17.14,
-16.92,
-16.700000000000003,
-16.480000000000004,
-16.260000000000005,
-16.040000000000006,
-15.819999999999993,
-15.599999999999994,
-15.379999999999995,
-15.159999999999997,
-14.939999999999998,
-14.719999999999999,
-14.5,
-14.280000000000001,
-14.060000000000002,
-13.840000000000003,
-13.620000000000005,1.0
-13.400000000000006,1.0
-13.180000000000007,1.0
-12.959999999999994,1.0
-12.739999999999995,1.0
-12.519999999999996,1.0
-12.299999999999997,1.0
-12.079999999999998,1.0
-11.86,1.0
-11.64,1.0
-11.420000000000002,1.0
-11.200000000000003,1.0
-10.980000000000004,1.0
-10.760000000000005,1.0
-10.540000000000006,1.0
-10.319999999999993,1.0
-10.0,0.9999893333333333
-9.780000000000001,0.9999786666666667
-9.560000000000002,0.999968
-9.340000000000003,0.9999573333333333
-9.120000000000005,0.9999466666666667
-8.900000000000006,0.9999359999999999
-8.680000000000007,0.9998957333333334
-8.459999999999994,0.9998554666666667
-8.239999999999995,0.9998151999999999
-8.019999999999996,0.9997749333333333
-7.799999999999997,0.9997346666666667
-7.579999999999998,0.9996434666666667
-7.359999999999999,0.9995522666666667
-7.140000000000001,0.9994610666666667
-6.920000000000002,0.9993698666666665
-6.700000000000003,0.9992786666666665
-6.480000000000004,0.9991104
-6.260000000000005,0.9989421333333333
-6.040000000000006,0.9987738666666667
-5.819999999999993,0.9986056
-5.599999999999994,0.9983346666666666
-5.3799999999999955,0.9980637333333334
-5.159999999999997,0.9977928
-4.939999999999998,0.9975218666666666
-4.719999999999999,0.9971232000000001
-4.5,0.9967245333333334
-4.280000000000001,0.9963258666666667
-4.060000000000002,0.9959271999999999
-3.8400000000000034,0.9953770666666666
-3.6200000000000045,0.9948269333333333
-3.4000000000000057,0.9942768
-3.180000000000007,0.9935541333333333
-2.9599999999999937,0.9928314666666667
-2.739999999999995,0.9921087999999999
-2.519999999999996,0.9911970666666667
-2.299999999999997,0.9902853333333332
-2.0799999999999983,0.9893736000000001
-1.8599999999999994,0.9882626666666667
-1.6400000000000006,0.9871517333333333
-1.4200000000000017,0.9858477333333333
-1.2000000000000028,0.9845437333333333
-0.980000000000004,0.9830767999999999
-0.7600000000000051,0.9816098666666667
-0.5400000000000063,0.9799906666666667
-0.3199999999999932,0.9781728
-0.09999999999999432,0.9760797333333333
0.12000000000000455,0.9732514666666667
0.3400000000000034,0.9676954666666667
0.5600000000000023,0.9563669333333333
1.2199999999999989,0.9433031466666666
1.4399999999999977,0.9317973066666667
1.6599999999999966,0.92242664
1.8799999999999955,0.9186533066666666
2.0999999999999943,0.9207741066666667
2.319999999999993,0.9238069066666666
2.5400000000000063,0.9249501066666668
2.760000000000005,0.9229639733333335
2.980000000000004,0.9181863733333333
3.200000000000003,0.9111189066666668
3.4200000000000017,0.9044365066666666
4.079999999999998,0.8955447733333333
4.299999999999997,0.8876101066666667
4.519999999999996,0.8801151733333332
4.739999999999995,0.8713277066666667
4.959999999999994,0.8629258399999999
5.6200000000000045,0.85049168
5.840000000000003,0.8394571733333335
6.060000000000002,0.8291219733333334
6.280000000000001,0.8193235733333333
6.5,0.8104691733333335
6.719999999999999,0.8042001066666666
6.939999999999998,0.7990494399999999
7.159999999999997,0.7936193066666666
7.3799999999999955,0.78536864
7.599999999999994,0.7741736266666667
8.260000000000005,0.7599332533333334
8.480000000000004,0.7464907759999999
8.700000000000003,0.736197976
8.920000000000002,0.7301971760000001
9.579999999999998,0.7193314959999999
9.799999999999997,0.7100165626666667
10.019999999999996,0.7018245626666666
10.239999999999995,0.6939013626666666
10.459999999999994,0.685845096
10.680000000000007,0.677453896
10.900000000000006,0.6693901626666666
11.120000000000005,0.6630069626666667
11.340000000000003,0.657824296
11.560000000000002,0.653714696
11.780000000000001,0.650037896
12.0,0.6464117626666667
12.219999999999999,0.6429413626666667
12.439999999999998,0.640213096
12.659999999999997,0.637276296
12.879999999999995,0.6331040293333333
13.099999999999994,0.6286557626666667
13.319999999999993,0.6239304293333333
13.540000000000006,0.6190101626666666
13.760000000000005,0.614173096
13.980000000000004,0.6095248293333333
14.200000000000003,0.604793896
14.420000000000002,0.6004800293333333
14.64,0.5973677626666667
14.86,0.5947408293333333
15.079999999999998,0.592534696
15.299999999999997,0.590029096
15.519999999999996,0.5863749626666667
15.739999999999995,0.581815496
15.959999999999994,0.5759224293333334
16.180000000000007,0.5687605626666666
16.400000000000006,0.5601181626666667
16.620000000000005,0.5506738959999999
16.840000000000003,0.5402657093333333
17.5,0.5294710426666667
17.72,0.5213025093333333
17.939999999999998,0.513625176
18.159999999999997,0.5061446426666667
18.379999999999995,0.4985643759999999
18.599999999999994,0.4911899760000001
19.040000000000006,0.4890137093333333
19.260000000000005,0.48504277599999995
19.480000000000004,0.48045184266666674
19.700000000000003,0.4771678426666667
19.92,0.478969176
20.14,0.48437802933333335
20.36,0.4912878693333333
20.58,0.493456136
20.799999999999997,0.48823346933333334
21.019999999999996,0.47643720266666667
21.239999999999995,0.46278626933333333
21.459999999999994,0.450160696
21.680000000000007,0.43959808266666667
22.560000000000002,0.4327157359999999
22.78,0.42911117600000004
